DATE_ID,DATE_DAY,DATE_WEEK,DATE_MONTH,DATE_QUARTER,DATE_YEAR,DAY_OF_MONTH,DAY_OF_WEEK_NUMBER,DAY_OF_WEEK_NAME,DAY_OF_WEEK_ABBREVIATION,DAY_OF_WEEK_LETTER,WEEK_NUMBER,WEEK_NAME,WEEK_ABBREVIATION,WEEK_WITH_YEAR,WEEK_YEAR,WEEK_STARTED_ON,WEEK_ENDED_ON,MONTH_NUMBER,MONTH_NAME,MONTH_ABBREVIATION,MONTH_WITH_YEAR,MONTH_STARTED_ON,MONTH_ENDED_ON,QUARTER_NUMBER,DAY_OF_QUARTER,QUARTER_WITH_YEAR,QUARTER_NAME,QUARTER_ABBREVIATION,QUARTER_STARTED_ON,QUARTER_ENDED_ON,DAY_YEAR,DAY_OF_YEAR,YEAR_STARTED_ON,YEAR_ENDED_ON,IS_WEEKEND,IS_FEDERAL_HOLIDAY,IS_FLEETIO_HOLIDAY,HOLIDAY_NAME
2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,1,1,Monday,Mon,M,1,Week 1,W1,2024-01,2024,2024-01-01,2024-01-07,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,1,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,1,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-02,2024-01-02,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2,2,Tuesday,Tue,T,1,Week 1,W1,2024-01,2024,2024-01-01,2024-01-07,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,2,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,2,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-03,2024-01-03,2024-01-01,2024-01-01,2024-01-01,2024-01-01,3,3,Wednesday,Wed,W,1,Week 1,W1,2024-01,2024,2024-01-01,2024-01-07,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,3,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,3,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-04,2024-01-04,2024-01-01,2024-01-01,2024-01-01,2024-01-01,4,4,Thursday,Thur,R,1,Week 1,W1,2024-01,2024,2024-01-01,2024-01-07,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,4,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,4,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-05,2024-01-05,2024-01-01,2024-01-01,2024-01-01,2024-01-01,5,5,Friday,Fri,F,1,Week 1,W1,2024-01,2024,2024-01-01,2024-01-07,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,5,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,5,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-06,2024-01-06,2024-01-01,2024-01-01,2024-01-01,2024-01-01,6,6,Saturday,Sat,S,1,Week 1,W1,2024-01,2024,2024-01-01,2024-01-07,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,6,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,6,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-01-07,2024-01-07,2024-01-01,2024-01-01,2024-01-01,2024-01-01,7,7,Sunday,Sun,S,1,Week 1,W1,2024-01,2024,2024-01-01,2024-01-07,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,7,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,7,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-01-08,2024-01-08,2024-01-08,2024-01-01,2024-01-01,2024-01-01,8,1,Monday,Mon,M,2,Week 2,W2,2024-02,2024,2024-01-08,2024-01-14,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,8,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,8,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-09,2024-01-09,2024-01-08,2024-01-01,2024-01-01,2024-01-01,9,2,Tuesday,Tue,T,2,Week 2,W2,2024-02,2024,2024-01-08,2024-01-14,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,9,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,9,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-10,2024-01-10,2024-01-08,2024-01-01,2024-01-01,2024-01-01,10,3,Wednesday,Wed,W,2,Week 2,W2,2024-02,2024,2024-01-08,2024-01-14,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,10,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,10,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
